2.2.1.1	transketolase	0.25	-	D-fructose 6-phosphate	isoform TKTp, at pH 7.7 and 55°C	Bacillus methanolicus	-	87	735856
2.2.1.1	transketolase	0.6	-	D-fructose 6-phosphate	pH 7.6, 37°C	Mycobacterium tuberculosis	-	87	720609
2.2.1.1	transketolase	0.6	-	D-fructose 6-phosphate	pH 7.6, 37°C	Mycobacterium tuberculosis	P9WG25	87	720609
2.2.1.1	transketolase	0.61	-	fructose 6-phosphate	-	Leishmania mexicana	-	453	692925
2.2.1.1	transketolase	0.61	-	fructose 6-phosphate	-	Leishmania mexicana	Q8MPM3	453	692925
2.2.1.1	transketolase	0.72	-	D-fructose 6-phosphate	isoform TKTc, at pH 7.5 and 55°C	Bacillus methanolicus	-	87	735856
2.2.1.1	transketolase	1.1	-	fructose 6-phosphate	-	Escherichia coli	-	453	486023
2.2.1.1	transketolase	1.8	-	fructose 6-phosphate	 (+ ribose 5-phosphate)	Saccharomyces cerevisiae	-	453	485991
2.2.1.1	transketolase	2.25	-	fructose-6-phosphate	-	Plasmodium falciparum	-	4244	694066
