3.5.4.19	phosphoribosyl-AMP cyclohydrolase	15486	-	alpha2, 2 * 15486, MALDI-MS	Methanococcus vannielii	-	
3.5.4.19	phosphoribosyl-AMP cyclohydrolase	31200	-	ultracentrifugation	Methanococcus vannielii	-	
3.5.4.19	phosphoribosyl-AMP cyclohydrolase	34000	-	gel filtration	Methanococcus vannielii	-	
3.5.4.19	phosphoribosyl-AMP cyclohydrolase	95000	-	alpha2, 2 * 95000, SDS-PAGE	Saccharomyces cerevisiae	-	
3.5.4.19	phosphoribosyl-AMP cyclohydrolase	126000	-	gel filtration	Neurospora crassa	-	
3.5.4.19	phosphoribosyl-AMP cyclohydrolase	190000	-	gel filtration	Saccharomyces cerevisiae	-	
