4.2.1.9	dihydroxy-acid dehydratase	63000	-	2 * 63000, SDS-PAGE	Spinacia oleracea	-	
4.2.1.9	dihydroxy-acid dehydratase	65000	-	SDS-PAGE, recombinant enzyme	Aspergillus fumigatus	-	
4.2.1.9	dihydroxy-acid dehydratase	78300	-	2 * 78300, recombinant thioredoxin-His-tagged IlvD, SDS-PAGE	Mycobacterium tuberculosis	-	
4.2.1.9	dihydroxy-acid dehydratase	105000	-	gel filtration	Spinacia oleracea	-	
4.2.1.9	dihydroxy-acid dehydratase	110000	-	native PAGE	Spinacia oleracea	-	
4.2.1.9	dihydroxy-acid dehydratase	155000	-	gel filtration, recombinant thioredoxin-His-tagged IlvD	Mycobacterium tuberculosis	-	
