2.1.2.3	phosphoribosylaminoimidazolecarboxamide formyltransferase	49700	-	monomer, residues 1-452	Thermotoga maritima	-	
2.1.2.3	phosphoribosylaminoimidazolecarboxamide formyltransferase	64425	-	1 * 64425, calculated from amino acid sequence	Homo sapiens	P31939	
2.1.2.3	phosphoribosylaminoimidazolecarboxamide formyltransferase	64430	-	cDNA sequencing	Homo sapiens	P31939	
2.1.2.3	phosphoribosylaminoimidazolecarboxamide formyltransferase	64450	-	electrospray mass spectroscopy	Homo sapiens	P31939	
2.1.2.3	phosphoribosylaminoimidazolecarboxamide formyltransferase	65630	-	gel filtration	Homo sapiens	P31939	
