3.6.1.31	phosphoribosyl-ATP diphosphatase	31670	Arabidopsis sp.	-	Arabidopsis sp.	Arabidopsis sp.	Arabidopsis sp.
3.6.1.31	phosphoribosyl-ATP diphosphatase	43000	Salmonella enterica subsp. enterica serovar Typhimurium	-	Salmonella enterica subsp. enterica serovar Typhimurium	Salmonella enterica subsp. enterica serovar Typhimurium	Salmonella enterica subsp. enterica serovar Typhimurium
3.6.1.31	phosphoribosyl-ATP diphosphatase	95000	Saccharomyces cerevisiae	-	Saccharomyces cerevisiae	Saccharomyces cerevisiae	Saccharomyces cerevisiae
